ISIN Div Payout/ ISIN Growth	Net Asset Value
INF846K01ZY3	10.2324
INF846K01A03	12.5103
INF846K01ZW7	10.2461
INF846K01ZU1	14.8234
	
	
	
INF194KA1T34	10.5059
INF194KA1M23	17.1785
INF194KA1T00	11.7484
INF194KA1S43	10.3717
INF194KA1M31	11.3969
INF194KA1S76	10.5222
INF194KA1S19	10.4874
INF194KA1L81	16.7769
INF194KA1R85	11.1219
INF194KA1R28	10.6244
INF194KA1L99	11.3098
INF194KA1R51	10.5614
	
	
	
INF251K01EN4	10.6435
INF251K01EI4	27.5099
INF251K01EJ2	10.1754
INF251K01EL8	10.2886
INF251K01GU4	10.8241
INF251K01GP4	25.1108
INF251K01GQ2	10.2683
INF251K01GS8	10.4640
INF251K01EU9	10.5795
INF251K01EP9	23.7700
INF251K01EQ7	10.2080
INF251K01ES3	10.2994
	
	
	
INF760K01HB2	20.2913
INF760K01HC0	12.2827
INF760K01GY6	19.1573
INF760K01GZ3	11.5990
	
	
	
INF740KA1KE8	14.1274
INF740KA1KF5	11.5353
INF740KA1KH1	10.4640
INF740KA1KJ7	11.2686
INF740KA1JX0	13.9493
INF740KA1JY8	11.5016
INF740KA1KA6	10.4441
INF740KA1KC2	10.6264
	
	
	
INF090I01KC0	0.0000
INF090I01FW8	92.3034
INF090I01DG6	86.0762
INF090I01DC5	0.0000
INF090I01DH4	16.6526
INF090I01FX6	18.6546
INF090I01FU2	14.9561
INF090I01FQ0	16.5911
INF090I01FS6	13.6700
INF090I01DN2	13.0344
INF090I01DJ0	14.8658
INF090I01DL6	12.1648
	
	
	
INF179K01DC2	28.227
INF179K01XD8	28.7188
INF179KA1D33	18.2862
INF179KA1D17	18.7951
INF179K01DD0	10.4471
INF179K01XB2	10.2868
	
	
	
INF917K01VZ8	12.1098
INF917K01HN3	67.2877
INF917K01HP8	11.4880
INF917K01HR4	20.3891
INF917K01WB7	11.9177
INF917K01AH0	63.5515
INF917K01AF4	11.1288
INF917K01AI8	17.1922
INF917K01AK4	24.1403
	
	
	
INF109KA1I84	14.9782
INF109K01CR9	10.1065
INF109K013B8	10.1008
INF109K014B6	12.1669
INF109K016B1	27.0785
INF109KA1N38	12.8827
INF109K017B9	10.2602
INF109K019B5	15.2408
INF109K010C2	10.2332
INF109K01SJ2	10.2243
INF109K01CQ1	25.9548
INF109KA1N12	12.6555
INF109K01SK0	10.4144
INF109K01CL2	10.0277
INF109K01CO6	10.0770
INF109K01SL8	10.3040
INF109K01SN4	11.0230
INF109K01CF4	10.0275
INF109K01SF0	10.3041
INF109K01CE7	22.7853
INF109K01QM0	10.3008
INF109K01FQ4	10.9335
INF109K01SE3	10.2202
	
	
	
INF205K01QX3	1705.2025
INF205K01RA9	1263.0582
INF205K01RD3	2939.8117
INF205K01RF8	2938.8816
INF205K01RG6	1259.0664
INF205K01RI2	1191.2389
INF205K01RK8	2898.5721
INF205K01RM4	2761.0333
INF205K01RN2	1582.5327
INF205K01RP7	1141.2714
	
	
	
-	2034.9063
INF178L01BY0	3395.9179
INF178L01BZ7	1074.0211
INF178L01921	2090.4924
INF178L01BO1	3271.6852
INF178L01BQ6	1065.7888
INF178L01BR4	1066.6837
INF178L01855	1040.0538
INF178L01897	1052.3061
-	1052.6393
INF178L01BU8	1052.7994
-	1202.9939
	
	
	
INF769K01HD9	11.2757
INF769K01HC1	11.2740
INF769K01HA5	11.1509
INF769K01GZ4	11.1507
	
	
	
-	17.0908
-	17.0914
INF204KA1EO9	17.1340
INF204K01C56	11.7115
INF204K01C72	12.0359
INF204K01C31	17.1202
INF204K01D63	38.6052
INF204K01C15	54.0721
INF204KA12N8	37.0392
INF204K01EF9	51.8618
INF204KA1EM3	16.6151
INF204K01EJ1	11.5853
INF204K01EL7	11.8848
INF204K01EH5	17.1193
	
	
	
INF223J01CY6	10.5591
INF223J01OM6	16.0486
INF223J01OO2	41.5221
INF223J01OP9	15.0299
INF223J01OR5	13.1299
INF223J01DB2	37.7506
INF223J01DC0	13.0011
INF223J01CQ2	21.588
INF223J01DE6	11.6067
INF223J01WZ1	24.9334
INF223J01DA4	15.2260
INF223J01WG1	13.2164
INF223J01WF3	13.5688
	
	
	
INF200KA1YR4	13.8019
INF200KA1YS2	13.0276
INF200KA1YU8	13.4174
INF200KA1YM5	13.5019
INF200KA1YN3	12.7433
INF200KA1YP8	13.1186
	
	
	
-	12.3034
INF903J01OX0	16.2794
INF903J01NR4	35.9691
INF903J01OW2	16.1855
INF903J01NS2	16.2001
INF903J01NU8	17.9419
INF903J01IA0	15.8477
INF903J01HZ9	16.1218
INF903J01HX4	15.3666
INF903J01HY2	17.4659
INF903J01HW6	34.9252
	
	
	
INF277KA1224	10.8923
INF277KA1240	10.8923
-	10.8923
INF277KA1232	10.8923
-	10.8923
INF277KA1257	10.8923
-	10.8923
INF277KA1299	10.7718
INF277KA1315	10.7718
-	10.7718
INF277KA1307	10.7718
-	10.7718
INF277KA1323	10.7718
-	10.7718
	
	
	
INF0GCD01560	1048.1024
INF0GCD01586	1048.4879
INF0GCD01537	1045.3304
INF0GCD01552	1045.311
	
	
	
INF582M01DU5	13.5071
INF582M01DW1	13.5071
INF582M01DY7	13.2787
INF582M01EA5	13.2787
	
	
	
INF789F1AOW2	6.8146
INF789F1APF4	7.3484
INF789F1APK4	1.504
INF789F1APM0	1.4941
INF789F1API8	1.4429
INF789F1APG2	2.3467
INF789F1APB3	1.4416
INF789F1APD9	1.4408
INF789F1AOZ5	1.4131
INF789F1AOX0	1.8744
INF789F1A587	12.5351
INF789F1A603	12.7688
INF789F1A538	14.4872
INF789F1A561	12.3789
INF789F1A546	12.6705
INF789F1A496	12.3178
INF789F1A512	12.5511
INF789F1A447	14.2537
INF789F1A470	12.0433
INF789F1A454	12.3944
	
	
	
	
	
INF209KA1K96	12.2195
INF209KA1L12	19.4611
INF209KA1K88	19.462
INF209KA1K54	11.3156
INF209KA1K70	17.7004
INF209KA1K47	18.0416
	
	
	
INF846K01PJ5	20.5401
INF846K01PM9	10.1217
INF846K01PK3	10.2922
INF846K01PO5	18.6119
INF846K01PR8	10.1053
INF846K01PP2	10.1659
	
	
	
INF194KA1X04	10.4517
INF194KA1W05	10.4129
INF194KA1W39	14.5066
INF194KA1V71	10.1606
INF194KA1V14	11.2650
INF194KA1V48	10.4396
INF194KA1X38	10.5148
INF194KA1X61	15.4689
INF194KA1W47	11.3215
INF194KA1W70	10.6152
	
	
	
INF761K01DG8	11.1614
INF761K01DH6	10.9619
	
	
	
INF955L01FZ9	14.0400
INF955L01GA0	12.7177
INF955L01FR6	20.8955
INF955L01FP0	19.2550
INF955L01FU0	11.3351
INF955L01FV8	11.8971
-	0
INF955L01IT6	0
INF955L01IW0	0
-	0
